"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"20:05:17,3457385","qtcreator.exe","344","QueryNetworkOpenInformationFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS","CreationTime: 25.08.2014 17:25:11, LastAccessTime: 04.09.2014 18:48:00, LastWriteTime: 04.09.2014 18:48:00, ChangeTime: 04.09.2014 18:48:00, AllocationSize: 01.01.1601 02:00:00, EndOfFile: 01.01.1601 02:00:00, FileAttributes: A"
"20:05:17,3457643","qtcreator.exe","344","CloseFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS",""
"20:05:17,4372588","qtcreator.exe","344","CreateFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"20:05:17,4373250","qtcreator.exe","344","QueryNetworkOpenInformationFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS","CreationTime: 25.08.2014 17:25:11, LastAccessTime: 04.09.2014 18:48:00, LastWriteTime: 04.09.2014 18:48:00, ChangeTime: 04.09.2014 18:48:00, AllocationSize: 01.01.1601 02:00:00, EndOfFile: 01.01.1601 02:00:00, FileAttributes: A"
"20:05:17,4373598","qtcreator.exe","344","CloseFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS",""
"20:05:27,7344509","qtcreator.exe","344","CreateFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"20:05:27,7345093","qtcreator.exe","344","QueryNetworkOpenInformationFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS","CreationTime: 25.08.2014 17:25:11, LastAccessTime: 04.09.2014 18:48:00, LastWriteTime: 04.09.2014 18:48:00, ChangeTime: 04.09.2014 18:48:00, AllocationSize: 01.01.1601 02:00:00, EndOfFile: 01.01.1601 02:00:00, FileAttributes: A"
"20:05:27,7347048","qtcreator.exe","344","CloseFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS",""
"20:05:31,3531790","qtcreator.exe","344","CreateFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"20:05:31,3586997","qtcreator.exe","344","QueryNetworkOpenInformationFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS","CreationTime: 25.08.2014 17:25:11, LastAccessTime: 04.09.2014 18:48:00, LastWriteTime: 04.09.2014 18:48:00, ChangeTime: 04.09.2014 18:48:00, AllocationSize: 01.01.1601 02:00:00, EndOfFile: 01.01.1601 02:00:00, FileAttributes: A"
"20:05:31,3587376","qtcreator.exe","344","CloseFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS",""
"20:05:45,8503131","qtcreator.exe","344","CreateFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"20:05:45,8503881","qtcreator.exe","344","QueryNetworkOpenInformationFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS","CreationTime: 25.08.2014 17:25:11, LastAccessTime: 04.09.2014 18:48:00, LastWriteTime: 04.09.2014 18:48:00, ChangeTime: 04.09.2014 18:48:00, AllocationSize: 01.01.1601 02:00:00, EndOfFile: 01.01.1601 02:00:00, FileAttributes: A"
"20:05:45,8504154","qtcreator.exe","344","CloseFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS",""
"20:05:51,5675962","qtcreator.exe","344","CreateFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"20:05:51,5676688","qtcreator.exe","344","QueryNetworkOpenInformationFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS","CreationTime: 25.08.2014 17:25:11, LastAccessTime: 04.09.2014 18:48:00, LastWriteTime: 04.09.2014 18:48:00, ChangeTime: 04.09.2014 18:48:00, AllocationSize: 01.01.1601 02:00:00, EndOfFile: 01.01.1601 02:00:00, FileAttributes: A"
"20:05:51,5677047","qtcreator.exe","344","CloseFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS",""
"20:05:58,7199308","qtcreator.exe","344","CreateFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"20:05:58,7199985","qtcreator.exe","344","QueryNetworkOpenInformationFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS","CreationTime: 25.08.2014 17:25:11, LastAccessTime: 04.09.2014 18:48:00, LastWriteTime: 04.09.2014 18:48:00, ChangeTime: 04.09.2014 18:48:00, AllocationSize: 01.01.1601 02:00:00, EndOfFile: 01.01.1601 02:00:00, FileAttributes: A"
